Daily Interconnector Net Flows
Gas Day ,Daily Flow (kWh)
11-Jan-2018,-499909376
12-Jan-2018,-336370432
13-Jan-2018,-279379456
14-Jan-2018,-279517728
15-Jan-2018,-241768128
16-Jan-2018,-365400032
17-Jan-2018,-274263744
18-Jan-2018,-351902464
19-Jan-2018,-301304640
20-Jan-2018,-509215136
21-Jan-2018,-499531488
22-Jan-2018,-376250080
23-Jan-2018,-242305600
24-Jan-2018,-231375056
25-Jan-2018,-548505664
26-Jan-2018,-449206432
27-Jan-2018,-229179872
28-Jan-2018,-186134608
29-Jan-2018,-300943360
30-Jan-2018,-187036704
31-Jan-2018,-446471712
01-Feb-2018,-486065536
02-Feb-2018,-596262528
03-Feb-2018,-677085952
04-Feb-2018,-709962688
05-Feb-2018,-613437760
06-Feb-2018,-455046560
07-Feb-2018,-507885120
08-Feb-2018,-561833536
09-Feb-2018,-523067552
10-Feb-2018,-603774208
11-Feb-2018,-607402240
12-Feb-2018,-605549696
13-Feb-2018,-576391808
14-Feb-2018,-615867824
15-Feb-2018,-516399920
16-Feb-2018,-481513920
17-Feb-2018,-585371776
18-Feb-2018,-561603392
19-Feb-2018,-453420768
20-Feb-2018,-460005056
21-Feb-2018,-505540704
22-Feb-2018,-299061504
23-Feb-2018,-275689632
24-Feb-2018,-266701200
25-Feb-2018,-263605984
26-Feb-2018,-230807440
27-Feb-2018,-72810128
28-Feb-2018,-237270176
01-Mar-2018,-558027456
02-Mar-2018,-708205376
03-Mar-2018,-538120704
04-Mar-2018,-553483200
05-Mar-2018,-453896983
06-Mar-2018,-254760736
07-Mar-2018,-265914464
08-Mar-2018,-281216480
09-Mar-2018,-257512320
10-Mar-2018,-307357344
11-Mar-2018,-308388768
12-Mar-2018,-341823296
13-Mar-2018,-446789952
14-Mar-2018,-364023008
15-Mar-2018,-241003200
16-Mar-2018,-327802432
17-Mar-2018,-281305152
18-Mar-2018,-262114672
19-Mar-2018,-377947392
20-Mar-2018,-102494936
21-Mar-2018,-80964080
22-Mar-2018,37344796
23-Mar-2018,-71894544
24-Mar-2018,-230129504
25-Mar-2018,-201547376
26-Mar-2018,-223096240
27-Mar-2018,-36076628
28-Mar-2018,-162588064
29-Mar-2018,-104731848
30-Mar-2018,-296563680
31-Mar-2018,-304757696
01-Apr-2018,-68687560
02-Apr-2018,-86772336
03-Apr-2018,-19722550
04-Apr-2018,143212752
05-Apr-2018,138653360
06-Apr-2018,196215824
07-Apr-2018,73061648
08-Apr-2018,56634564
09-Apr-2018,-2201920
10-Apr-2018,15270005
11-Apr-2018,82563400
12-Apr-2018,-83963248
13-Apr-2018,-132856224
14-Apr-2018,-54652512
15-Apr-2018,-45494380
16-Apr-2018,43627316
17-Apr-2018,125232824
18-Apr-2018,75420544
19-Apr-2018,25877308
20-Apr-2018,140285264
21-Apr-2018,-6076261
22-Apr-2018,-21150094
23-Apr-2018,86792952
24-Apr-2018,22483858
25-Apr-2018,62264780
26-Apr-2018,44364640
27-Apr-2018,60406940
28-Apr-2018,50500236
29-Apr-2018,39757444
30-Apr-2018,25995644
01-May-2018,49257816
02-May-2018,71005528
03-May-2018,69315384
04-May-2018,192900128
05-May-2018,260867840
06-May-2018,250917008
07-May-2018,240157360
08-May-2018,286971904
09-May-2018,282553312
10-May-2018,287221984
11-May-2018,334514560
12-May-2018,340788640
13-May-2018,338720928
14-May-2018,362474720
15-May-2018,361612736
16-May-2018,215120800
17-May-2018,250796960
18-May-2018,189001392
19-May-2018,383356096
20-May-2018,383202304
21-May-2018,380981440
22-May-2018,408432192
23-May-2018,296523552
24-May-2018,224941200
25-May-2018,367928320
26-May-2018,243203184
27-May-2018,259922592
28-May-2018,238151984
29-May-2018,352162720
30-May-2018,268897632
31-May-2018,72857032
01-Jun-2018,63030104
02-Jun-2018,252941808
03-Jun-2018,247753520
04-Jun-2018,90104472
05-Jun-2018,57491068
06-Jun-2018,66506612
07-Jun-2018,45008528
08-Jun-2018,111459648
