Daily Interconnector Net Flows
Gas Day ,Daily Flow (kWh)
01-Oct-2017,196516528
02-Oct-2017,126551096
03-Oct-2017,54188204
04-Oct-2017,173360784
05-Oct-2017,98587456
06-Oct-2017,113808544
07-Oct-2017,133406888
08-Oct-2017,109414480
09-Oct-2017,168608432
10-Oct-2017,112685416
11-Oct-2017,339629344
12-Oct-2017,382669984
13-Oct-2017,482909760
14-Oct-2017,357907008
15-Oct-2017,361515424
16-Oct-2017,354619328
17-Oct-2017,315546848
18-Oct-2017,371062144
19-Oct-2017,233625600
20-Oct-2017,398287360
21-Oct-2017,218840336
22-Oct-2017,236546592
23-Oct-2017,306870528
24-Oct-2017,337988064
25-Oct-2017,138573312
26-Oct-2017,53207224
27-Oct-2017,64435832
28-Oct-2017,164600368
29-Oct-2017,148079616
30-Oct-2017,97267272
31-Oct-2017,174093264
01-Nov-2017,41909956
02-Nov-2017,0
03-Nov-2017,46088476
04-Nov-2017,31758502
05-Nov-2017,16089758
06-Nov-2017,-13869500
07-Nov-2017,-6026365
08-Nov-2017,39269748
09-Nov-2017,118159720
10-Nov-2017,33916672
11-Nov-2017,-32161892
12-Nov-2017,-24121720
13-Nov-2017,-146644592
14-Nov-2017,-26047774
15-Nov-2017,4833699
16-Nov-2017,58669184
17-Nov-2017,-19585422
18-Nov-2017,-42616368
19-Nov-2017,-78606072
20-Nov-2017,-44446120
21-Nov-2017,10115370
22-Nov-2017,0
23-Nov-2017,-34149428
24-Nov-2017,-188217808
25-Nov-2017,-72519072
26-Nov-2017,-87531784
27-Nov-2017,-177323184
28-Nov-2017,-119262424
29-Nov-2017,-268327632
30-Nov-2017,-353300128
01-Dec-2017,-332945312
02-Dec-2017,-358680288
03-Dec-2017,-322743520
04-Dec-2017,-344268320
05-Dec-2017,-239251088
06-Dec-2017,-176288128
07-Dec-2017,-144398880
08-Dec-2017,-458770848
09-Dec-2017,-440520832
10-Dec-2017,-469814272
11-Dec-2017,-430021088
12-Dec-2017,-618746496
13-Dec-2017,-518967360
14-Dec-2017,-676448448
15-Dec-2017,-675450048
16-Dec-2017,-582273920
17-Dec-2017,-591957440
18-Dec-2017,-512806496
19-Dec-2017,-648700096
20-Dec-2017,-475680352
21-Dec-2017,-637402624
22-Dec-2017,-599031680
23-Dec-2017,-534009824
24-Dec-2017,-513515520
25-Dec-2017,-512768320
26-Dec-2017,-529093088
27-Dec-2017,-640471232
28-Dec-2017,-618123136
29-Dec-2017,-723142272
30-Dec-2017,-422381344
31-Dec-2017,-368837216
01-Jan-2018,-438083680
02-Jan-2018,-488434336
03-Jan-2018,-511483936
04-Jan-2018,-388716896
05-Jan-2018,-521641536
06-Jan-2018,-432754656
07-Jan-2018,-463631648
08-Jan-2018,-547758400
09-Jan-2018,-692277440
10-Jan-2018,-633448320
